English,Hindi,Hinglish,bert_base,vader_sentiment
An organism or individual having a diploid set of chromosomes derived from each parent.,कोई अवयव या जीव जिस में माता और पिता इन दोनों से ही प्राप्त गुणसुत्र का एक दोहरा गुट है।,koee organism or individual jis men mata aur pita in donon se hi prapt gunsutr ka ek dohra gut individual,neutral,neutral
But the physical love is only a bridge to cross over to the other bank葉he Annihilation of self.,पर शारीरिक प्रेम दूसरे तट-आत्म-हनन-पर पहुँचने का सेतु मात्र है।,par sharirik prem doosre tat-aatm-hanan-par bridge to cross physical love,neutral,positive
His mother was darning a torn sock over a wooden mushroom.,उसकी माँ लकड़ी के बने कुकुरमुत्ते पर कोई फटा मोज़ा सी रही थी।,uski man lakari ke bane kukurmutte par koee phata darning a torn thi.,negative,negative
Every soul shall have a taste of death: And only on the Day of Judgment shall you be paid your full recompense. Only he who is saved far from the Fire and admitted to the Garden will have attained the object (of Life): For the life of this world is but goods and chattels of deception.,"प्रत्येक जीव मृत्यु का मज़ा चखनेवाला है, और तुम्हें तो क़ियामत के दिन पूरा-पूरा बदला दे दिया जाएगा। अतः जिसे आग (जहन्नम) से हटाकर जन्नत में दाख़िल कर दिया गया, वह सफल रहा। रहा सांसारिक जीवन, तो वह माया-सामग्री के सिवा कुछ भी नहीं","pratyek jiv taste of death chakhnevala hai, aur tumhen to iyamat ke din poora-poora badla de diya jaega. ata jise aag jahannam se hatakar jannat men dail kar diya gaya, vah saphal raha. raha sansarik jivan, to vah maya-samagri ke siva kuchh bhi nahin",negative,negative
"Fluctuations in the production of raw jute, low yield, cost inflation, labour unrest, uncertain demand and obsolete machinery are some of its major problems.","कच्चे जूट के उत्पादन में उतार-चढ़ाव, कम पैदावार, लागत स्फीती, श्रम असंतोष, अनिश्चित मांग, पुरानी मशीनें, कुछ इसकी प्रमुख समस्याऍं हैं.","fluctuations jute ke production men utar-chaav , low yield , cost sphiti , labour unrest , uncertain demand , obsolete machinery , kuchh iski major problems hain",negative,negative
a lot of young people with a demographic dividend,एक जनसांख्यिकीय लाभांश के साथ कई युवा लोग,ek demographic dividend ke sath kee young lot,neutral,neutral
"And remember Our servants Ibrahim and Ishaq and Yaqoub, men of power and insight.",और (ऐ रसूल) हमारे बन्दों में इबराहीम और इसहाक़ और याकूब को याद करो जो कुवत और बसीरत वाले थे,aur ae rasool hamare bandon men ibrahim aur isha aur yakoob ko yad karo jo kuvat aur basirat vale the,positive,neutral
"Moreover , even if we resolved the dispute by circumscribing its scope to some particular field of human endeavour and did agree on what is ' excellence ' , there is no knowing that it would be passed on to children .","और किसी विशिष्ट क्षेत्र के संदर्भ में उत्कृष्टता का अर्थ क़्या होगा , इस बात का निर्णय हम लोगों ने कर भी लिया तब भी आनेवाली पीढ़ी की संतानों में यह गुण दिखाई देगा , इस बात की कोई गारंटी नहीं दी जा सकती .","aur kisi particular scope ke sndarbh men human ka arth ya children , is moreover ka nirnay ham logon ne kar bhi liya tab bhi aanevali pii ki sntanon men yah gun dikhaee dega , is moreover ki koee garnti nahin di ja dispute",neutral,positive
Candytuft is mostly cultivated for ornamental purposes.,चांदी टफ या कैंडीटफ्ट मुख्यत सजावटी उद्देश्यों के लिए उगाए जाते हैं,chandi taph ya kainditapht mukhyat ornamental purposes ke lie ugae jate hain,neutral,neutral
Cannot attach CMS Enveloped data,CMS लिफाफाकृत आंकड़ा संलग्न नहीं कर सकता है,CMS attach data snlagn nahin kar sakta hai,negative,neutral
"In truth, when its desires are fulfilled, it returns to its own place and enjoys the happiness that is the Self.","वस्तुतः जब उसकी इच्छाएँ पूरी हो जाती है तो वह अपने स्थान पर वापस आ जाता है, और आनंद का, आत्मा का उपयोग करता है।","vastuta jab uski ichchhaen poori ho jati hai to vah apne sthan par vapas aa jata hai, aur aannd ka, aatma ka upyog karta hai.",positive,positive
"Let's see, let's do minus 5 / 7 divided by 10 / 3.","देखे, करे नकारात्मक 5/7 विभाजित है 10/3 से","dekhe, kare minus 57 divided hai 103 se",neutral,neutral
In tha Law there are a number of bylaws under one law.,विधि में एक नियम के अंतर्गत कई उप नियम होते हैं।,vidhi men ek niyam ke antargat kee up niyam hote number,neutral,positive
In the Gardens of delight (Paradise).,नेमत भरी जन्नतों में होंगे;,delight bhari gardens men honge,positive,positive
"Last week , transporters in Delhi were up in arms against him , and , on April 10 , the first fir alleging a case of cheating and detailing his role in the CNG kit scam , was lodged at a Delhi police station .",दिल्ली के ट्रांसपोर्टरों ने एकजुट हो 10 अप्रैल को उनके खिलफ धोखाधड़ी के आरोप के साथ सीएनजी किट घोटाले में उनकी भूमिका बताते हे प्राथमिकी दर्ज करवाई .,delhi ke last ne ekjut ho 10 april ko unke khilaph cheating ke aarop ke sath cng kit scam men unki role batate he fir darj karvaee,negative,negative
"So, a smaller group, whether it is called a steering committee or something else, is needed which can be more active and can meet more frequently and with less expenses.","इसीलिये एक ज्यादा छोटे समूह की जरूरत है, चाहे उसे आप कार्य संचालन समिति कहें या कुछ और, जो साल में कई बार मिल सके, अधिक सक्रिय हो सके और कम खर्च से काम चला सके।","isiliye ek jyada smaller group ki jaroorat hai , something use aap kary steering committee kahen ya kuchh aur , jo sal men kee bar mil sake , adhik active ho sake aur less kharch se kam chala sake.",neutral,positive
They felt there wasn 't enough progress,उन्होंने महसूस किया कि वहाँ पर्याप्त प्रगति नहीं थी,unhonne wasn kiya ki vahan paryapt progress nahin thi,negative,positive
Then it goes back to potential energy again.,तो यह वापस संभावित ऊर्जा को फिर से चला जाता है।,to yah vapas potential energy ko phir se chala jata hai.,neutral,positive
But during his father 's gall - bladder operation he admitted him to a paying bed at the Bangur Hospital.,बाप के गाँल ब्लाडर का ऑपरेशन कराया बाँगुर हास्पीटल के पेइंग बेड भर्ती करा कर।,bap ke ganl bladar ka ऑpreshan karaya bangur haspital ke peing bed bharti kara kar.,neutral,positive
Wind speed = %d kilometers/hour,हवा की गती = %d किलोमीटर/प्रतिघंटा,wind ki speed d kilomitarprtighnta,neutral,neutral
"If selected, you will be notified when entering an SSL enabled site","यदि चुना गया है, जब आप एसएसएल सक्षम साइट पर प्रवेश करते हैं तो आपको सूचित किया जाएगा","yadi selected gaya hai, jab aap esesel enabled site par prvesh karte hain to aapko soochit kiya jaega",neutral,neutral
"Each vertex has a label, and these labels must have the following property.","प्रत्येक वर्टेक्स एक लेबल है, और इन लेबल निम्न गुण होना आवश्यक है।","pratyek varteks ek label hai, aur in label nimn gun hona aavashyak hai.",neutral,neutral
"He said, “O my son, do not relate your vision to your brothers, lest they plot and scheme against you. Satan is man 's sworn enemy.",याक़ूब ने कहा ऐ बेटा (देखो ख़बरदार) कहीं अपना ख्वाब अपने भाईयों से न दोहराना (वरना) वह लोग तुम्हारे लिए मक्कारी की तदबीर करने लगेगें इसमें तो शक़ ही नहीं कि शैतान आदमी का खुला हुआ दुश्मन है,yaoob ne kaha ae son dekho bardar lest apna vision apne brothers se n dohrana varna vah log tumhare lie scheme ki tadbir karne lagegen ismen to sha hi nahin ki shaitan man ka sworn huaa enemy hai,negative,negative
I know that the Bodhisattva lovingly regards all living creatures to deliver them from misery!,मै जानता हूं कि बोधिसत्व सभी प्राणियों पर अपनी कृपा भाव बिखेरे हुए हैं!,mai janta hoon ki bodhisatv sabhi living par apni kripa bhav bikhere hue hain!,positive,positive
Greek 'ouranos' for 'heaven'. Named after the planet Uranus.,'स्वर्ग' के लिए यूनानी में 'क्वारानोस'. यूरेनस ग्रह के ऊपर नाम रखा गया,svarg ke lie greek men kvaranos planet uranus ke oopar nam rakha gaya,neutral,positive
Failed to unlock lock file '% s' '% s',लॉक फ़ाइल को अन-लॉक करने में असफ़ल,lock file ko an-lk karne men asafal,negative,negative
We have tried to correct them.,हमने उन्हें सुधारने की कोशिश की है।,hamne unhen sudharne ki koshish ki hai.,neutral,neutral
"Having nothing worthwhile to do, he organized a society of like - minded persons to divert his mind.",कुछ खास काम न हाने के कारण उन्होंने अपना ध्यान दूसरी ओर लगााने की दृष्टि से अपने जैसे विचार वाले लोगों की एक सोसायटी बना ली।,kuchh nothing kam n hane ke karan unhonne apna mind society or lagaane ki drishti se apne jaise vichar vale persons ki ek sosayti bana li.,negative,positive
"We think doodling is something you do when you lose focus,","ऐसा माना जाता है कि डूडल करने वाले का ध्यान भंग हो चुका है,","aesa mana jata hai ki doodling karne vale ka focus bhng ho chuka hai,",neutral,negative
Anaerobic is a technical word which literally means without oxygen.,अनॉक्सीय एक तांत्रिक शब्द है जिसका शाब्दिक अर्थ है बीना प्राणवायु के।,anksiy ek tantrik word hai jiska shabdik arth hai technical oxygen ke.,negative,neutral
"He was born in the city of Surat in Gujarat on 24th August, 1833.","24 अगस्त, 1833 को उसका जन्म गुजरात के सूरत नगर में हुआ।","24 august, 1833 ko uska janm gujrat ke soorat nagar men huaa.",neutral,neutral
We 're going to win because we have dreams.,हम जीतने वाले हैं क्योंकि हमारे पास एक सपना है।,ham dreams vale hain kyonki hamare pas ek sapna hai.,positive,positive
He is the Lord of the heavens and the earth and all that is between them. He is the Beneficent God and no one will be able to address Him.,"वह आकाशों और धरती का और जो कुछ उनके बीच है सबका रब है, अत्यन्त कृपाशील है, उसके सामने बात करना उनके बस में नहीं होगा","vah lord aur earth ka aur jo kuchh unke bich hai beneficent god hai , atyant kripashil hai , uske samne bat karna unke bas men nahin hoga",positive,positive
"The region was endemic for malaria, Kala - a - zar and leprosy.","यह क्षेत्र मलेरिया, कालाजार और कुष्ठ रोग से प्रभावित था।","yah region malaria, kala aur leprosy rog se prbhavit tha.",negative,neutral
The whole of Rashtrapati Bhavan would be with them in their efforts to bring up their children.,उनके बच्चों की परवरिश में पूरा राष्ट्रपति भवन उनके साथ है।,unke children ki paravrish men poora rashtrapati bhavan unke sath whole,positive,neutral
“It 's nice for swimming there. ”,पानी में तैरने का वहाँ बहुत बढ़िया इन्तज़ाम है।,pani men nice ka vahan bahut baiya intazam hai.,positive,positive
Water resources development and management will have to be planned for a hydrological unit.,एक हाइड्रोलॉजिकल इकाई के लिए जल संसाधन विकास और प्रबंधन की योजना बनानी होगी।,ek hydrological unit ke lie jal snsadhan development and management ki yojna banani hogi.,neutral,neutral
The Madras High Court was a pioneer in the enrolment of women.,मद्रास उच्च न्यायालय महिलाओं के प्रवेश में भी अग्रणी रहा।,madras high court women ke enrolment men bhi pioneer raha.,positive,neutral
We have not heard of any such thing in the old religion. This is nothing but a fabrication.,हम लोगों ने तो ये बात पिछले दीन में कभी सुनी भी नहीं हो न हो ये उसकी मन गढ़ंत है,ham logon ne to ye bat pichhle din men kabhi suni bhi nahin ho n ho ye uski man gant hai,negative,neutral
There is a lesson for you concerning cattle. We provide you with drink from their bellies and many other benefits. You can consume them as meat.,और निश्चय ही तुम्हारे लिए चौपायों में भी एक शिक्षा है। उनके पेटों में जो कुछ है उसमें से हम तुम्हें पिलाते है। औऱ तुम्हारे लिए उनमें बहुत-से फ़ायदे है और उन्हें तुम खाते भी हो,aur nishchay hi lesson lie cattle men bhi ek shiksha hai. unke bellies men jo kuchh hai drink se ham tumhen pilate hai. au lesson lie unmen bahut-se benefits hai aur unhen tum khate bhi ho,positive,positive
Ganesh Chaturthi and Janmashtmi are the other two festivals which are celebrated with lots of fun and frolic.,इनके अलावा गणेश चतुर्थी और जन्माष्टमी कुछ अधिक धूम-धाम के संग मनाये जाते हैं।,other alava ganesh chaturthi aur janmashtmi kuchh adhik dhoom-dham ke sng janmashtmi jate hain.,positive,positive
Bharavi was almost a contemporary of Kalidasa.,भारवि करीब करीब कालिदास के समकालीन थे.,bharavi karib karib kalidas ke contemporary the,neutral,neutral
Disability and Housing Policy housingpolicy_disability@detr.gov.uk,अपंग और रिहाइश के बारे में नीति housingpolicy_disability@detr.gov.uk,disability aur housing ke bare men policy housingpolicy_disability detrgovuk,neutral,neutral
[it will be] lowering and exalting.,कि किसी को पस्त करेगी किसी को बुलन्द,ki kisi ko exalting karegi kisi ko buland,neutral,negative
"Thereafter, We utterly destroyed the rest,",(और हलाक हो गयी) फिर हमने उन लोगों को हलाक कर डाला,aur destroyed the rest phir hamne un logon ko utterly kar dala,negative,negative
"PARTLY flattered by Mussolini 's courtship and partly curious to see for himself this colourful personality and its impact on an ancient and lively culture, Tagore accepted an invitation from Italy and sailed for Naples on 15 May 1926.",कुछ तो मुसोलिनी के सम्मान निवेदन से प्रसन्न होकर और कुछ उसके रंगारंग व्यक्तित्व और प्राचीन तथा जीवंत संस्कृति पर उसके प्रभाव को देखने की चाह से रवीन्द्रनाथ ने इटली का आमंत्रण स्वीकार किया. वे 15 मई 1926 को नेपल्स के लिए रवाना हुए.,kuchh to musolini ke samman nivedan se prasann hokar aur kuchh uske colourful personality aur ancient and lively snskriti par uske prbhav ko dekhne ki chah se ravindrnath ne itli ka aamntran svikar kiya ve 15 mee 1926 ko nepals ke lie ravana hue,positive,positive
India is grateful for Tanzania’s support to India’s claim for permanent membership of the UN Security Council.,"भारत, संयुक्त राष्ट्र सुरक्षा परिषद की स्थायी सदस्यता की हमारी दावेदारी के प्रति तंजानिया के समर्थन के॒ लिए आभारी है।","india , un rashtr security council ki permanent membership ki claim ke prti tanzania ke support ke lie grateful hai.",positive,positive
that astonished the media business.,जिन्होनें इन मीडिया कंपनियों की हवा निकाल दी।,business in media knpniyon ki hava nikal di.,positive,positive
Almost all Political Parties with their representatives contest the election for Counselor.,पार्षदों के चुनाव हेतु लगभग सभी राजनीतिक पार्टियां अपने प्रत्याशि खड़े करतीं हैं।,contest the election hetu lagabhag sabhi political parties apne pratyashi khare kartin hain.,neutral,positive
"she 's standing, those Rockports slightly apart, but grounded.","वो खड़ी हैं, उनके रौकपोर्ट जूते एक-दूसरे से थोड़े दूर, पर ज़मीन पर अच्छी तरह जमे हुए.","vo standing hain, unke slightly joote ek-doosre se thore door, par zamin par achchhi tarah jame hue",neutral,neutral
The body of humans are prone to destruction but destruction never occurs to the soul.,मनुष्य का शरीर विनाशशील है किंतु आत्मा का कभी नाश नहीं होता।,body of humans humans are prone aatma ka kabhi nash nahin hota.,negative,negative
Parallel transfers require multiple bit paths.,समांतर अंतरण को बहुविध पथ की आवश्यकता होती है।,parallel transfers ko bahuvidh path ki aavashyakta hoti hai.,neutral,neutral
He never lost a chance to refer to them in an appreciative voice when delivering important speeches.,महत्वपूर्ण भाषणों में वे इन दोनों को उद्घृत करना नहीं भूलते थे।,important speeches men ve in donon ko udghrit karna nahin chance the.,positive,positive
Paraumbilical is also known as paraomphalic.,परानाभिक को नाभि के पास स्थित जाना जाता है,paranabhik ko nabhi ke pas sthit jana jata hai,neutral,neutral
Sallow refers to sickly yellowish complexion.,पाण्डुवर्ण या पीतवर्ण पीलेपन को निर्दिष्ट करता है.,panduvarn ya pitavarn complexion ko refers karta hai,negative,neutral
Crowding also brings about other factors of destruction such as disease and malnutrition.,"भीड़-भाड़ भी विनाश के अन्य कारणों को जन्म देती है, जैसे बीमारी और अपर्याप्त पोषण।","crowding bhi destruction ke any karnon ko janm deti hai, jaise bimari aur aparyapt poshan.",negative,negative
We 're going to win because we have dreams.,हम जीतने वाले हैं क्योंकि हमारे पास एक सपना है।,ham win vale hain kyonki hamare pas ek sapna hai.,positive,positive
Inspired Teachers’ by their own example can instill good moral values in their students.,प्रेरित शिक्षक’ अपने उदाहरण से अपने विद्यार्थियों में अच्छे नैतिक मूल्यों का समावेश कर सकते हैं।,inspired shikshak apne udaharan se apne vidyarthiyon instill good moral moolyon ka samavesh kar sakte hain.,positive,positive
"Please accept, Excellency, my good wishes for your personal health and well-being, as well as for the progress and prosperity of the friendly people of the Republic of Equatorial Guinea.",कृपया अपने व्यक्तिगत स्वास्थ्य तथा कुशलता और भूमध्यवर्ती गिनी गणराज्य की मैत्रीपूर्ण जनता की प्रगति और समृद्धि के लिए मेरी शुभकामनाएं स्वीकार करें।,kripya apne vyaktigat health and well-being aur republic of equatorial ki maitripoorn janta ki pragti aur samriddhi ke lie meri shubhkamnaen svikar karen.,positive,positive
"The Budget is presented with a Budget Speech which is , in fact , one of the most important speeches in Parliament .",बजट पेश करते हुए बजट भाषण दिया जाता है जो वास्तव में संसद में सबसे महत्वपूर्ण भाषणों में से एक होता है .,bajat pesh karte hue budget speech diya jata hai jo vastav men snsad men sabse important speeches men se ek hota hai,positive,positive
"Whoever brings virtue shall receive [a reward] better than it, but whoever brings vice—those who commit misdeeds shall not be requited except for what they used to do.","जो कोई अच्छा आचारण लेकर आया उसे उससे उत्तम प्राप्त होगा, और जो बुरा आचरण लेकर आया तो बुराइयाँ करनेवालों को तो वस वही मिलेगा जो वे करते थे","jo koee virtue shall receive aaya use usse uttam prapt hoga, aur jo bura aacharan lekar aaya to buraiyan karnevalon ko to vas vahi milega jo ve karte the",neutral,positive
By no means! Surely it is a flaming fire,(मगर) ये हरगिज़ न होगा,magar ye surely n hoga,negative,negative
"The fact, however, is that our region remains amongst the least integrated and developed, underlining the need for greater co-operation and intensification of our trade effort.","तथापि वास्तविकता यह है कि हमारा क्षेत्र कम एकीकृत और विकसित बना हुआ है, जो हमारे व्यापार प्रयास के अधिकाधिक सहयोग और तेजी की आवश्यकता दर्शाता है।","tathapi fact yah hai ki hamara region least integrated aur viksit greater huaa hai , jo hamare trade effort ke intensification sahyog aur teji ki need darshata hai.",neutral,positive
The game has no solution. Undo or start again.,खेल के पास कोई हल नहीं है. वापस ले या फिर शुरू करें.,game ke pas koee solution nahin hai vapas le ya phir shuroo karen,negative,negative
"There were the usual speeches, garlanding and so on.","उसमें, सामान्यतः जैसा होता है, मालाएं पहनाई गई और भाषण आदि हुए।","usmen , usual jaisa hota hai , malaen pahnaee gee aur speeches aadi hue.",neutral,neutral
A similar provision exists for the Deputy Chairman Rajya Sabha in article 90.,अनुच्छेद 90 में राज्य सभा के उपसभापति के लिए ऐसा ही प्रावधान हे.,article 90 men rajya sabha ke exists ke lie similar hi provision he,neutral,neutral
Don 't ever see the face of that big whore!,अब उस रांड का मुंह मत देखना।,ab us rand ka face don dekhna.,negative,negative
"And he said: You have only taken for yourselves idols besides Allah by way of friendship between you in this world 's life, then on the resurrection day some of you shall deny others, and some of you shall curse others, and your abode is the fire, and you shall not have any helpers.",और इबराहीम ने (अपनी क़ौम से) कहा कि तुम लोगों ने ख़ुदा को छोड़कर बुतो को सिर्फ दुनिया की ज़िन्दगी में बाहम मोहब्त करने की वजह से (ख़ुदा) बना रखा है फिर क़यामत के दिन तुम में से एक का एक इनकार करेगा और एक दूसरे पर लानत करेगा और (आख़िर) तुम लोगों का ठिकाना जहन्नुम है और (उस वक्त तुम्हारा कोई भी मददगार न होगा),aur ibrahim ne apni aum se kaha ki tum logon ne uda ko chhorakar buto ko sirph duniya ki zindgi men baham mohabt karne ki vajah se uda bana rakha hai phir yamat ke din tum men se ek ka ek inkar karega aur ek doosre par lanat karega aur aair tum logon ka thikana jahannum hai aur us vakt tumhara koee bhi madadgar n hoga,negative,negative
It has been called Chhath because of fast of Suryashashthi.,मूलतः सूर्य षष्ठी व्रत होनेके कारण इसे छठ कहा गया है।,moolta soory shashthi fast suryashashthi karan ise chhath kaha gaya hai.,neutral,neutral
He congratulated NIFM for choosing this motto.,उन्होंने एनआईएफएम को इस सिद्धांत को चुनने के लिए बधाई दी थी।,unhonne enaaeeephem ko is siddhant ko choosing ke lie congratulated di thi.,positive,neutral
"This Weather Underground, by some unlawful intent, sent a terror group to the USA to with an aim to attract attention of the world towards their needs.Some excerpts of the relations of these terror groups were mentioned in some media.",इस मौसम अंडरग्राउंड (Weather Underground) जो है जबकि कोई हताहत कारण विभिन्न दुनिया राजनीतिक मुद्दों के लिए मीडिया का ध्यान लाने के लिए आतंकवादी वारदातों का प्रदर्शन एक उग्रवादी संगठन अमेरिका गया था.इस मुद्दे से कई संक्षिप्त दिए गए समाचार सेवाओं द्वारा आतंकवादी वारदातों के संबंध में ही उल्लेख है.,is weather underground Weather Underground jo hai jabki koee hatahat karan vibhinn duniya rajnitik muddon ke lie midiya ka dhyan lane ke lie terror group ka pradarshan ek ugrvadi sngathan amerika gaya thais mudde se kee snkshipt die ge samachar sevaon dvara terror group ke snbndh men hi ullekh hai,negative,negative
% s is calling you. Do you want to answer?,% s आपको बुला कर रहा है. क्या आप जवाब देना चाहते हैं?,s aapko bula kar raha hai kya aap javab dena chahte hain,negative,positive
Whether the image gallery pane should be resizable.,क्या छवि गैलरी फलक बदलने योग्य होना चाहिए.,kya image gallery pane badalne yogy hona chahie,neutral,neutral
"and who will be told, ""This is what you had called a lie"".","फिर कहा जाएगा, ""यह वही है जिस तुम झुठलाते थे""","phir kaha jaega, yah vahi hai jis tum lie the",negative,neutral
So be patient with gracious patience.,"अतः धैर्य से काम लो, उत्तम धैर्य","ata patient se kam lo , uttam patient",positive,positive
Failed to store mail in temp file% s:% s,% s अस्थायी फ़ाइल में डाक संग्रहन में असफलः% s,s failed to store store mail men asaphla s,negative,negative
"Your discipline, commitment and determination will help you navigate through the rough terrain.","आपका अनुशासन, समर्पण और संकल्प मुश्किल हालात से गुजरने में आपकी मदद करेगा।","aapka discipline , samarpan aur commitment mushkil halat se gujarne men aapki rough karega.",positive,positive
Items of export which are other than the crude oil.,कच्चे तेल के अलावा निर्यात किया जाने वाला अन्य माल/सामान।,crude oil ke alava niryat kiya jane vala any malsaman.,neutral,negative
"When the eye is bewildered,","तो जब निगाह चौंधिया जाएगी,","to jab eye chaundhiya jaegi,",neutral,neutral
They get upset at the slightest inconvenience and the government officials have a difficult task to bring them round.,थोड़ी भी असुविधा से वे विचलित हो उठते हैं और सरकारी कर्मचारियों के लिए उन्हें रास्ते पर लाना एक विकट समस्या बन जाती है.,thori bhi asuvidha se ve upset ho uthte hain aur government officials ke lie unhen raste par task to bring samasya ban jati hai,negative,negative
"""As to these folk, - the cult they are in is (but) a fragment of a ruin, and vain is the (worship) which they practise.""","“निश्चय ही वह लोग लगे हुए है, बरबाद होकर रहेगा। और जो कुछ ये कर रहे है सर्वथा व्यर्थ है। ""","worship hi vah folk fragment hue hai , ruin hokar rahega. aur jo kuchh ye kar rahe hai sarvtha vain hai.",negative,negative
"The person who completes the action of ""behold"" meaning to see someone or something in an impressive manner.",किसी को प्रभावशाली तरीके से देखने की क्रिया,kisi ko impressive manner se dekhne ki action,positive,positive
"This is surely in the earlier Books,",निस्संदेह यही बात पहले की किताबों में भी है;,nissndeh yahi bat pahle ki earlier men bhi hai,neutral,positive
"The naqara, twenty pairs, more or less. 3.",2 नक्कारा जिसकी कोई बीस जोड़ियां हैं।,2 naqara jiski koee twenty pairs hain.,neutral,neutral
"Together, we shall take India into the 21st century as a strong, self - confident, and prosperous nation.","हम सब मिलकर सशक्त, आत्मविश्वास और समृद्ध राष्ट्र के रुप में भारत का 21वीं शताब्दि में पदार्पण कराएंगे।","ham sab milakar sashakt, aatmvishvas aur prosperous nation ke rup men bharat ka 21vin shatabdi men padarpan karaenge.",positive,positive
And their eyes spoke of death.,उनकी आंखें मौत का संदेश दे रही थीं।,unki eyes spoke of death de rahi thin.,negative,negative
Overcrowding and outstanding registrations kept increasing .,भीड़ भाड़ तथा शेष पंजीकरण की संख़्या में वृद्धि होती गयी .,overcrowding and outstanding shesh pnjikaran ki snya men vriddhi hoti gayi,negative,positive
Ganesh Chaturthi and Janmashtmi are the other two festivals which are celebrated with lots of fun and frolic.,इनके अलावा गणेश चतुर्थी और जन्माष्टमी कुछ अधिक धूम-धाम के संग मनाये जाते हैं।,inke alava ganesh chaturthi aur janmashtmi kuchh adhik dhoom-dham ke sng manaye jate hain.,positive,positive
"Every time you take a full and deep breath, or when you cachinnate well, you get extra energy instantly.","हर बार जब भी आप पूरी और गहरी सांस लेते हैं, अथवा जोर से अट्टहास लगाते हैं, तो आपको तुरंत अतिरिक्त उर्जा प्राप्त होती है.","har bar jab bhi aap full and deep sans lete hain, athva jor se atthas lagate hain, to aapko extra energy instantly prapt hoti hai",positive,positive
